Time,bittrex,binance,bitfinex,poloniex,MAX-DIFF
1518460640,8665,8688.1,8679,8838,0.019965378
1518460660,8665,8689.98,8678,8840.56139,0.02026098
1518460680,8676,8688.17,8674.8,8840.56139,0.019108382
1518460700,8676,8694,8678,8840.56139,0.018967426
1518460720,8674,8685.42,8674,8840.56139,0.019202374
1518460740,8675,8688.16,8672.7,8840.56139,0.019355148
1518460760,8675,8685.43,8676.8,8845,0.019596542
1518460780,8665.33,8693.92,8687.1,8841.01,0.020273896
1518460800,8665.33,8688.4,8690,8841.001007,0.020272858
1518460820,8667,8681.07,8681.5,8841.001007,0.020076267
1518460840,8667,8681.01,8681.7,8841.001007,0.020076267
1518460860,8667,8683.81,8681.1,8841.001007,0.020076267
1518460880,8667,8683.11,8683.9,8844.99999,0.02053767
1518460900,8667,8683.11,8683.7,8841.001007,0.020076267
1518460920,8667,8686.92,8682.8,8845,0.020537672
1518460940,8667,8678.3,8682.9,8845,0.020537672
1518460960,8681,8673.66,8671.6,8841.001007,0.01953515
1518460980,8681,8660.09,8656.950075,8841.001007,0.021260482
1518461000,8681,8661.09,8655.4,8844.9999,0.021905389
